90011,Los Angeles CA,"106,326",2%,26.2,"$23,851.00"
90650,Norwalk CA,"104,765",0%,32.5,"$46,012.00"
90201,Bell Gardens CA,"101,479",0%,27.8,"$30,029.00"
92335,Fontana CA,"99,743",4%,26.9,"$35,008.00"
90250,Hawthorne CA,"96,593",3%,31.9,"$33,656.00"
90280,South Gate CA,"95,430",1%,29.4,"$35,744.00"
90805,Long Beach CA,"94,475",1%,29,"$32,565.00"
91331,Pacoima CA,"93,821",-10%,29.5,"$39,225.00"
90044,Los Angeles CA,"92,967",3%,28.6,"$22,091.00"
92336,Fontana CA,"92,195",4%,30.1,"$55,340.00"
94565,Pittsburg CA,"90,935",6%,31.8,"$48,523.00"
92683,Westminster CA,"89,851",0%,38.7,"$49,686.00"
91342,Sylmar CA,"89,725",-2%,31.9,"$48,744.00"
92704,Santa Ana CA,"89,527",1%,29.8,"$49,923.00"
92503,Riverside CA,"85,990",1%,30.8,"$44,829.00"
92804,Anaheim CA,"85,970",0%,33,"$41,887.00"
92376,Rialto CA,"84,462",3%,27.6,"$37,568.00"
93307,Bakersfield CA,"84,172",1%,25.6,"$26,462.00"
91911,Chula Vista CA,"83,259",0%,33.5,"$38,010.00"
91744,La Puente CA,"82,850",-2%,30.9,"$46,792.00"
93722,Fresno CA,"81,972",6%,29.5,"$43,256.00"
92345,Hesperia CA,"81,522",3%,31.2,"$41,423.00"
93033,Oxnard CA,"81,183",-1%,27.8,"$46,342.00"
93550,Palmdale CA,"80,635",7%,27.5,"$37,484.00"
95076,Watsonville CA,"80,408",-2%,31.1,"$45,354.00"
92154,San Diego CA,"77,614",-2%,32.9,"$42,970.00"
95823,Sacramento CA,"77,463",4%,29.1,"$36,001.00"
91706,Baldwin Park CA,"76,873",0%,30.5,"$41,621.00"